阶段,国家,国家编码,产品品线,平台类型,平台,搜索词,URL,Google定向查询,Google搜索URL,批次编码
P1-C,美国,US,吸奶器,竞品Amazon评论,Amazon (amazon.com),Elvie Stride,https://www.amazon.com/s?k=Elvie+Stride&rh=p_72%3A1-2,"site:amazon.com ""Elvie Stride"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Elvie+Stride%22+review+problem,BATCH-P1C-US-Elvie
P1-C,美国,US,吸奶器,竞品独立站Google定向,Google → elvie.com,Elvie negative reviews,https://www.google.com/search?q=site%3Aelvie.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:elvie.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Aelvie.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-Elvie
P1-C,美国,US,吸奶器,竞品独立站,Willow DTC (willowpump.com),"Willow Go, Willow 3.0",https://www.willowpump.com/products,"site:willowpump.com ""review"" (""leak"" OR ""expensive"" OR ""not worth"")",https://www.google.com/search?q=site%3Awillowpump.com+%22review%22+%28%22leak%22+OR+%22expensive%22+OR+%22not+worth%22%29,BATCH-P1C-US-Willow
P1-C,美国,US,吸奶器,竞品Amazon评论,Amazon (amazon.com),Willow Go,https://www.amazon.com/s?k=Willow+Go&rh=p_72%3A1-2,"site:amazon.com ""Willow Go"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Willow+Go%22+review+problem,BATCH-P1C-US-Willow
P1-C,美国,US,吸奶器,竞品Amazon评论,Amazon (amazon.com),Willow 3.0,https://www.amazon.com/s?k=Willow+3.0&rh=p_72%3A1-2,"site:amazon.com ""Willow 3.0"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Willow+3.0%22+review+problem,BATCH-P1C-US-Willow
P1-C,美国,US,吸奶器,竞品独立站Google定向,Google → willowpump.com,Willow negative reviews,https://www.google.com/search?q=site%3Awillowpump.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:willowpump.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Awillowpump.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-Willow
P1-C,美国,US,吸奶器,竞品独立站,Momcozy DTC (momcozy.com),"Momcozy M5, Momcozy M9, Momcozy S12 Pro",https://momcozy.com/collections/wearable-breast-pumps,"site:momcozy.com ""review"" (""suction"" OR ""leak"" OR ""noise"" OR ""not worth"")",https://www.google.com/search?q=site%3Amomcozy.com+%22review%22+%28%22suction%22+OR+%22leak%22+OR+%22noise%22+OR+%22not+worth%22%29,BATCH-P1C-US-Momcozy
P1-C,美国,US,吸奶器,竞品Amazon评论,Amazon (amazon.com),Momcozy M5,https://www.amazon.com/s?k=Momcozy+M5&rh=p_72%3A1-2,"site:amazon.com ""Momcozy M5"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Momcozy+M5%22+review+problem,BATCH-P1C-US-Momcozy
P1-C,美国,US,吸奶器,竞品Amazon评论,Amazon (amazon.com),Momcozy M9,https://www.amazon.com/s?k=Momcozy+M9&rh=p_72%3A1-2,"site:amazon.com ""Momcozy M9"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Momcozy+M9%22+review+problem,BATCH-P1C-US-Momcozy
P1-C,美国,US,吸奶器,竞品独立站Google定向,Google → momcozy.com,Momcozy negative reviews,https://www.google.com/search?q=site%3Amomcozy.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:momcozy.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Amomcozy.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-Momcozy
P1-C,美国,US,吸奶器,竞品独立站,Lansinoh DTC (lansinoh.com),"Lansinoh Smartpump 2.0, Lansinoh Manual Breast Pump",https://lansinoh.com/collections/breast-pumps,"site:lansinoh.com ""review"" (""suction"" OR ""pain"" OR ""leak"")",https://www.google.com/search?q=site%3Alansinoh.com+%22review%22+%28%22suction%22+OR+%22pain%22+OR+%22leak%22%29,BATCH-P1C-US-Lansinoh
P1-C,美国,US,吸奶器,竞品Amazon评论,Amazon (amazon.com),Lansinoh Smartpump 2.0,https://www.amazon.com/s?k=Lansinoh+Smartpump+2.0&rh=p_72%3A1-2,"site:amazon.com ""Lansinoh Smartpump 2.0"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Lansinoh+Smartpump+2.0%22+review+problem,BATCH-P1C-US-Lansinoh
P1-C,美国,US,吸奶器,竞品Amazon评论,Amazon (amazon.com),Lansinoh Manual Breast Pump,https://www.amazon.com/s?k=Lansinoh+Manual+Breast+Pump&rh=p_72%3A1-2,"site:amazon.com ""Lansinoh Manual Breast Pump"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Lansinoh+Manual+Breast+Pump%22+review+problem,BATCH-P1C-US-Lansinoh
P1-C,美国,US,吸奶器,竞品独立站Google定向,Google → lansinoh.com,Lansinoh negative reviews,https://www.google.com/search?q=site%3Alansinoh.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:lansinoh.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Alansinoh.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-Lansinoh
P1-C,美国,US,吸奶器,竞品独立站,Motif Medical DTC (motifmedical.com),"Motif Aura, Motif Duo, Motif Luna",https://www.motifmedical.com/collections/breast-pumps,"site:motifmedical.com ""review"" (""suction"" OR ""issue"" OR ""returned"")",https://www.google.com/search?q=site%3Amotifmedical.com+%22review%22+%28%22suction%22+OR+%22issue%22+OR+%22returned%22%29,BATCH-P1C-US-MotifMedical
P1-C,美国,US,吸奶器,竞品Amazon评论,Amazon (amazon.com),Motif Aura,https://www.amazon.com/s?k=Motif+Aura&rh=p_72%3A1-2,"site:amazon.com ""Motif Aura"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Motif+Aura%22+review+problem,BATCH-P1C-US-MotifMedical
P1-C,美国,US,吸奶器,竞品Amazon评论,Amazon (amazon.com),Motif Duo,https://www.amazon.com/s?k=Motif+Duo&rh=p_72%3A1-2,"site:amazon.com ""Motif Duo"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Motif+Duo%22+review+problem,BATCH-P1C-US-MotifMedical
P1-C,美国,US,吸奶器,竞品独立站Google定向,Google → motifmedical.com,Motif Medical negative reviews,https://www.google.com/search?q=site%3Amotifmedical.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:motifmedical.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Amotifmedical.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-MotifMedical
P1-C,美国,US,吸奶器,竞品独立站,Haakaa DTC (haakaa.com),"Haakaa Silicone Breast Pump, Haakaa Wearable Pump",https://www.haakaa.com/collections/breast-pumps,"site:haakaa.com ""review"" (""suction"" OR ""spill"" OR ""silicone"")",https://www.google.com/search?q=site%3Ahaakaa.com+%22review%22+%28%22suction%22+OR+%22spill%22+OR+%22silicone%22%29,BATCH-P1C-US-Haakaa
P1-C,美国,US,吸奶器,竞品Amazon评论,Amazon (amazon.com),Haakaa Silicone Breast Pump,https://www.amazon.com/s?k=Haakaa+Silicone+Breast+Pump&rh=p_72%3A1-2,"site:amazon.com ""Haakaa Silicone Breast Pump"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Haakaa+Silicone+Breast+Pump%22+review+problem,BATCH-P1C-US-Haakaa
P1-C,美国,US,吸奶器,竞品Amazon评论,Amazon (amazon.com),Haakaa Wearable Pump,https://www.amazon.com/s?k=Haakaa+Wearable+Pump&rh=p_72%3A1-2,"site:amazon.com ""Haakaa Wearable Pump"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Haakaa+Wearable+Pump%22+review+problem,BATCH-P1C-US-Haakaa
P1-C,美国,US,吸奶器,竞品独立站Google定向,Google → haakaa.com,Haakaa negative reviews,https://www.google.com/search?q=site%3Ahaakaa.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:haakaa.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Ahaakaa.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-Haakaa
P1-C,美国,US,喂养电器,竞品独立站,Philips Avent DTC (philips.com),"Avent Fast Bottle Warmer, Avent 3-in-1 Sterilizer, Avent Premium Sterilizer",https://www.philips.com/c-m-mo/philips-avent-bottle-warmers-sterilizers,"site:philips.com ""avent"" ""review"" (""slow"" OR ""uneven"" OR ""difficult"")",https://www.google.com/search?q=site%3Aphilips.com+%22avent%22+%22review%22+%28%22slow%22+OR+%22uneven%22+OR+%22difficult%22%29,BATCH-P1C-US-PhilipsAvent
P1-C,美国,US,喂养电器,竞品Amazon评论,Amazon (amazon.com),Avent Fast Bottle Warmer,https://www.amazon.com/s?k=Avent+Fast+Bottle+Warmer&rh=p_72%3A1-2,"site:amazon.com ""Avent Fast Bottle Warmer"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Avent+Fast+Bottle+Warmer%22+review+problem,BATCH-P1C-US-PhilipsAvent
P1-C,美国,US,喂养电器,竞品Amazon评论,Amazon (amazon.com),Avent 3-in-1 Sterilizer,https://www.amazon.com/s?k=Avent+3-in-1+Sterilizer&rh=p_72%3A1-2,"site:amazon.com ""Avent 3-in-1 Sterilizer"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Avent+3-in-1+Sterilizer%22+review+problem,BATCH-P1C-US-PhilipsAvent
P1-C,美国,US,喂养电器,竞品独立站Google定向,Google → philips.com,Philips Avent negative reviews,https://www.google.com/search?q=site%3Aphilips.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:philips.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Aphilips.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-PhilipsAvent
P1-C,美国,US,喂养电器,竞品独立站,Tommee Tippee DTC (tommeetippee.com),"Closer to Nature Sterilizer, Perfect Prep Machine, Easi-warm Bottle Warmer",https://www.tommeetippee.com/en-us/feeding,"site:tommeetippee.com ""review"" (""leak"" OR ""slow"" OR ""not compatible"")",https://www.google.com/search?q=site%3Atommeetippee.com+%22review%22+%28%22leak%22+OR+%22slow%22+OR+%22not+compatible%22%29,BATCH-P1C-US-TommeeTippee
P1-C,美国,US,喂养电器,竞品Amazon评论,Amazon (amazon.com),Closer to Nature Sterilizer,https://www.amazon.com/s?k=Closer+to+Nature+Sterilizer&rh=p_72%3A1-2,"site:amazon.com ""Closer to Nature Sterilizer"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Closer+to+Nature+Sterilizer%22+review+problem,BATCH-P1C-US-TommeeTippee
P1-C,美国,US,喂养电器,竞品Amazon评论,Amazon (amazon.com),Perfect Prep Machine,https://www.amazon.com/s?k=Perfect+Prep+Machine&rh=p_72%3A1-2,"site:amazon.com ""Perfect Prep Machine"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Perfect+Prep+Machine%22+review+problem,BATCH-P1C-US-TommeeTippee
P1-C,美国,US,喂养电器,竞品独立站Google定向,Google → tommeetippee.com,Tommee Tippee negative reviews,https://www.google.com/search?q=site%3Atommeetippee.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:tommeetippee.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Atommeetippee.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-TommeeTippee
P1-C,美国,US,喂养电器,竞品独立站,Dr. Brown's DTC (drbrownsbaby.com),"Dr. Brown's Deluxe Bottle Sterilizer, Dr. Brown's Bottle Warmer",https://www.drbrownsbaby.com/product-type/feeding/,"site:drbrownsbaby.com ""review"" (""colic"" OR ""hard to clean"" OR ""parts"")",https://www.google.com/search?q=site%3Adrbrownsbaby.com+%22review%22+%28%22colic%22+OR+%22hard+to+clean%22+OR+%22parts%22%29,BATCH-P1C-US-Dr.Brown's
P1-C,美国,US,喂养电器,竞品Amazon评论,Amazon (amazon.com),Dr. Brown's Deluxe Bottle Sterilizer,https://www.amazon.com/s?k=Dr.+Brown%27s+Deluxe+Bottle+Sterilizer&rh=p_72%3A1-2,"site:amazon.com ""Dr. Brown's Deluxe Bottle Sterilizer"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Dr.+Brown%27s+Deluxe+Bottle+Sterilizer%22+review+problem,BATCH-P1C-US-Dr.Brown's
P1-C,美国,US,喂养电器,竞品Amazon评论,Amazon (amazon.com),Dr. Brown's Bottle Warmer,https://www.amazon.com/s?k=Dr.+Brown%27s+Bottle+Warmer&rh=p_72%3A1-2,"site:amazon.com ""Dr. Brown's Bottle Warmer"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Dr.+Brown%27s+Bottle+Warmer%22+review+problem,BATCH-P1C-US-Dr.Brown's
P1-C,美国,US,喂养电器,竞品独立站Google定向,Google → drbrownsbaby.com,Dr. Brown's negative reviews,https://www.google.com/search?q=site%3Adrbrownsbaby.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:drbrownsbaby.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Adrbrownsbaby.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-Dr.Brown's
P1-C,美国,US,喂养电器,竞品独立站,Baby Brezza DTC (babybrezza.com),"Formula Pro Advanced, Baby Brezza Sterilizer Dryer, One Step Sterilizer",https://www.babybrezza.com/collections/all,"site:babybrezza.com ""review"" (""formula"" OR ""dispenser"" OR ""error"" OR ""not accurate"")",https://www.google.com/search?q=site%3Ababybrezza.com+%22review%22+%28%22formula%22+OR+%22dispenser%22+OR+%22error%22+OR+%22not+accurate%22%29,BATCH-P1C-US-BabyBrezza
P1-C,美国,US,喂养电器,竞品Amazon评论,Amazon (amazon.com),Formula Pro Advanced,https://www.amazon.com/s?k=Formula+Pro+Advanced&rh=p_72%3A1-2,"site:amazon.com ""Formula Pro Advanced"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Formula+Pro+Advanced%22+review+problem,BATCH-P1C-US-BabyBrezza
P1-C,美国,US,喂养电器,竞品Amazon评论,Amazon (amazon.com),Baby Brezza Sterilizer Dryer,https://www.amazon.com/s?k=Baby+Brezza+Sterilizer+Dryer&rh=p_72%3A1-2,"site:amazon.com ""Baby Brezza Sterilizer Dryer"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Baby+Brezza+Sterilizer+Dryer%22+review+problem,BATCH-P1C-US-BabyBrezza
P1-C,美国,US,喂养电器,竞品独立站Google定向,Google → babybrezza.com,Baby Brezza negative reviews,https://www.google.com/search?q=site%3Ababybrezza.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:babybrezza.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Ababybrezza.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-BabyBrezza
P1-C,美国,US,喂养电器,竞品独立站,Chicco DTC (chiccousa.com),"Chicco NaturalFit Sterilizer, Chicco Bottle Warmer",https://www.chiccousa.com/shop-all-feeding/,"site:chiccousa.com ""review"" (""warm"" OR ""sterilize"" OR ""problem"")",https://www.google.com/search?q=site%3Achiccousa.com+%22review%22+%28%22warm%22+OR+%22sterilize%22+OR+%22problem%22%29,BATCH-P1C-US-Chicco
P1-C,美国,US,喂养电器,竞品Amazon评论,Amazon (amazon.com),Chicco NaturalFit Sterilizer,https://www.amazon.com/s?k=Chicco+NaturalFit+Sterilizer&rh=p_72%3A1-2,"site:amazon.com ""Chicco NaturalFit Sterilizer"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Chicco+NaturalFit+Sterilizer%22+review+problem,BATCH-P1C-US-Chicco
P1-C,美国,US,喂养电器,竞品Amazon评论,Amazon (amazon.com),Chicco Bottle Warmer,https://www.amazon.com/s?k=Chicco+Bottle+Warmer&rh=p_72%3A1-2,"site:amazon.com ""Chicco Bottle Warmer"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Chicco+Bottle+Warmer%22+review+problem,BATCH-P1C-US-Chicco
P1-C,美国,US,喂养电器,竞品独立站Google定向,Google → chiccousa.com,Chicco negative reviews,https://www.google.com/search?q=site%3Achiccousa.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:chiccousa.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Achiccousa.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-Chicco
P1-C,美国,US,喂养电器,竞品独立站,NUK DTC (nuk.com),"NUK Thermo Express Bottle Warmer, NUK Vario Express Sterilizer",https://www.nuk.com/products/feeding,"site:nuk.com ""review"" (""warming"" OR ""parts"" OR ""difficult"")",https://www.google.com/search?q=site%3Anuk.com+%22review%22+%28%22warming%22+OR+%22parts%22+OR+%22difficult%22%29,BATCH-P1C-US-NUK
P1-C,美国,US,喂养电器,竞品Amazon评论,Amazon (amazon.com),NUK Thermo Express Bottle Warmer,https://www.amazon.com/s?k=NUK+Thermo+Express+Bottle+Warmer&rh=p_72%3A1-2,"site:amazon.com ""NUK Thermo Express Bottle Warmer"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22NUK+Thermo+Express+Bottle+Warmer%22+review+problem,BATCH-P1C-US-NUK
P1-C,美国,US,喂养电器,竞品Amazon评论,Amazon (amazon.com),NUK Vario Express Sterilizer,https://www.amazon.com/s?k=NUK+Vario+Express+Sterilizer&rh=p_72%3A1-2,"site:amazon.com ""NUK Vario Express Sterilizer"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22NUK+Vario+Express+Sterilizer%22+review+problem,BATCH-P1C-US-NUK
P1-C,美国,US,喂养电器,竞品独立站Google定向,Google → nuk.com,NUK negative reviews,https://www.google.com/search?q=site%3Anuk.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:nuk.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Anuk.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-NUK
P1-C,美国,US,家居出行,竞品独立站,Bugaboo DTC (bugaboo.com),"Bugaboo Fox 5, Bugaboo Dragonfly, Bugaboo Butterfly",https://www.bugaboo.com/strollers/,"site:bugaboo.com ""review"" (""heavy"" OR ""price"" OR ""fold"" OR ""wheel"")",https://www.google.com/search?q=site%3Abugaboo.com+%22review%22+%28%22heavy%22+OR+%22price%22+OR+%22fold%22+OR+%22wheel%22%29,BATCH-P1C-US-Bugaboo
P1-C,美国,US,家居出行,竞品Amazon评论,Amazon (amazon.com),Bugaboo Fox 5,https://www.amazon.com/s?k=Bugaboo+Fox+5&rh=p_72%3A1-2,"site:amazon.com ""Bugaboo Fox 5"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Bugaboo+Fox+5%22+review+problem,BATCH-P1C-US-Bugaboo
P1-C,美国,US,家居出行,竞品Amazon评论,Amazon (amazon.com),Bugaboo Dragonfly,https://www.amazon.com/s?k=Bugaboo+Dragonfly&rh=p_72%3A1-2,"site:amazon.com ""Bugaboo Dragonfly"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22Bugaboo+Dragonfly%22+review+problem,BATCH-P1C-US-Bugaboo
P1-C,美国,US,家居出行,竞品独立站Google定向,Google → bugaboo.com,Bugaboo negative reviews,https://www.google.com/search?q=site%3Abugaboo.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:bugaboo.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Abugaboo.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-Bugaboo
P1-C,美国,US,家居出行,竞品独立站,UPPAbaby DTC (uppababy.com),"UPPAbaby Vista V3, UPPAbaby Cruz V3, UPPAbaby Minu V2",https://uppababy.com/strollers/,"site:uppababy.com ""review"" (""heavy"" OR ""bulky"" OR ""fold"" OR ""price"")",https://www.google.com/search?q=site%3Auppababy.com+%22review%22+%28%22heavy%22+OR+%22bulky%22+OR+%22fold%22+OR+%22price%22%29,BATCH-P1C-US-UPPAbaby
P1-C,美国,US,家居出行,竞品Amazon评论,Amazon (amazon.com),UPPAbaby Vista V3,https://www.amazon.com/s?k=UPPAbaby+Vista+V3&rh=p_72%3A1-2,"site:amazon.com ""UPPAbaby Vista V3"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22UPPAbaby+Vista+V3%22+review+problem,BATCH-P1C-US-UPPAbaby
P1-C,美国,US,家居出行,竞品Amazon评论,Amazon (amazon.com),UPPAbaby Cruz V3,https://www.amazon.com/s?k=UPPAbaby+Cruz+V3&rh=p_72%3A1-2,"site:amazon.com ""UPPAbaby Cruz V3"" (""1 star"" OR ""terrible"" OR ""not worth"")",https://www.google.com/search?q=site%3Aamazon.com+%22UPPAbaby+Cruz+V3%22+review+problem,BATCH-P1C-US-UPPAbaby
P1-C,美国,US,家居出行,竞品独立站Google定向,Google → uppababy.com,UPPAbaby negative reviews,https://www.google.com/search?q=site%3Auppababy.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,"site:uppababy.com ""review"" (""problem"" OR ""disappointed"" OR ""returned"")",https://www.google.com/search?q=site%3Auppababy.com+%22review%22+%28%22problem%22+OR+%22disappointed%22+OR+%22returned%22%29,BATCH-P1C-US-UPPAbaby
